movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,studio,domestic_gross,year
tt2278871,Blue Is the Warmest Color,La vie d'Adèle,2013,180.0,"Drama,Romance",7.8,124409,IFC,2200000.0,2013
tt2279339,Love the Coopers,Love the Coopers,2015,107.0,"Comedy,Fantasy,Romance",5.8,18018,LGF,26300000.0,2015
tt2279373,The SpongeBob Movie: Sponge Out of Water,The SpongeBob Movie: Sponge Out of Water,2015,92.0,"Adventure,Animation,Comedy",6.0,43560,Par.,163000000.0,2015
tt2281587,Muppets Most Wanted,Muppets Most Wanted,2014,107.0,"Adventure,Comedy,Crime",6.4,29018,BV,51200000.0,2014
tt2283362,Jumanji: Welcome to the Jungle,Jumanji: Welcome to the Jungle,2017,119.0,"Action,Adventure,Comedy",7.0,242735,Sony,404500000.0,2017
tt2289538,On My Way,Elle s'en va,2013,116.0,"Comedy,Drama",6.4,2009,Cohen,317000.0,2014
tt2290739,The Devil's Hand,Where the Devil Hides,2014,86.0,"Horror,Thriller",5.0,3339,RAtt.,5700.0,2014
tt2292625,Chakravyuh,Chakravyuh,2012,152.0,"Action,Drama,Thriller",6.9,2838,Eros,152000.0,2012
tt2292959,The Canyons,The Canyons,2013,99.0,"Drama,Thriller",3.8,9838,IFC,56800.0,2013
tt2293640,Minions,Minions,2015,91.0,"Adventure,Animation,Comedy",6.4,193917,Uni.,336000000.0,2015
tt2294449,22 Jump Street,22 Jump Street,2014,112.0,"Action,Comedy,Crime",7.0,319504,Sony,191700000.0,2014
tt2294917,Becoming Traviata,Traviata et nous,2012,120.0,"Documentary,Musical",7.0,98,Distrib.,62700.0,2013
tt2295722,Falcon Rising,Falcon Rising,2014,103.0,"Action,Adventure",5.8,6955,Free,11800.0,2014
tt2296404,Tai Chi Hero,Tai Chi Hero,2012,100.0,"Action,Adventure",6.2,3110,WGUSA,35100.0,2013
tt2296747,Come What May,"En mai, fais ce qu'il te plaît",2015,114.0,"Drama,War",6.7,782,Cohen,37800.0,2016
tt2296777,Sherlock Gnomes,Sherlock Gnomes,2018,86.0,"Adventure,Animation,Comedy",5.1,8030,Par.,43200000.0,2018
tt2299842,Pieta,Pieta,2012,104.0,"Crime,Drama",7.2,11521,Drft.,22100.0,2013
tt2300975,Jessabelle,Jessabelle,2014,90.0,"Horror,Thriller",5.4,20552,LGF,MISSING,2014
tt2301155,Shootout at Wadala,Shootout at Wadala,2013,155.0,"Action,Crime",5.9,5610,Eros,370000.0,2013
tt2301592,The Dance of Reality,La danza de la realidad,2013,133.0,"Biography,Drama,Fantasy",7.5,6682,Abk.,294000.0,2014
tt2302755,Olympus Has Fallen,Olympus Has Fallen,2013,119.0,"Action,Thriller",6.5,235443,FD,98900000.0,2013
tt2304426,The Selfish Giant,The Selfish Giant,2013,91.0,Drama,7.3,10682,IFC,12200.0,2013
tt2304771,Mandela: Long Walk to Freedom,Mandela: Long Walk to Freedom,2013,141.0,"Biography,Drama,History",7.1,25027,Wein.,8300000.0,2013
tt2304915,The Green Prince,The Green Prince,2014,101.0,"Biography,Documentary",7.2,2482,MBox,258000.0,2014
tt2304933,The 5th Wave,The 5th Wave,2016,112.0,"Action,Adventure,Drama",5.2,90788,Sony,34900000.0,2016
tt2306745,Sound City,Sound City,2013,107.0,"Documentary,Music",7.8,11439,Vari.,423000.0,2013
tt2309048,Double Trouble,Bao dao shuang xiong,2012,87.0,"Action,Comedy",3.6,201,CL,44800.0,2012
tt4997196,Double Trouble,Braca po babine linije,2016,90.0,Comedy,5.4,153,CL,44800.0,2012
tt6737834,Double Trouble,Tarapaty,2017,85.0,"Adventure,Family",4.6,68,CL,44800.0,2012
tt2309260,The Gallows,The Gallows,2015,81.0,"Horror,Mystery,Thriller",4.2,17763,WB (NL),22800000.0,2015
tt2309764,Singham Returns,Singham Returns,2014,142.0,"Action,Drama",5.7,6554,Eros,1200000.0,2014
tt2310332,The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,2014,144.0,"Adventure,Fantasy",7.4,438621,WB (NL),255100000.0,2014
tt2312718,Homefront,Homefront,2013,100.0,"Action,Thriller",6.5,98549,ORF,20200000.0,2013
tt2558484,Homefront,The Things We Leave Behind,2013,111.0,Drama,7.7,17,ORF,20200000.0,2013
tt2315152,A Werewolf Boy,Neuk-dae-so-nyeon,2012,122.0,"Fantasy,Romance",7.4,5657,CJ,343000.0,2012
tt2315582,Una,Una,2016,94.0,"Drama,Romance",6.2,7921,EF,22800.0,2017
tt2316204,Alien: Covenant,Alien: Covenant,2017,122.0,"Horror,Sci-Fi,Thriller",6.4,226920,Fox,74300000.0,2017
tt2316411,Enemy,Enemy,2013,91.0,"Mystery,Thriller",6.9,143250,A24,1000000.0,2014
tt5207964,Enemy,Enemy,2015,MISSING,"Drama,Fantasy,Mystery",5.6,17,A24,1000000.0,2014
tt2317337,Vicky Donor,Vicky Donor,2012,126.0,"Comedy,Romance",7.8,35465,Eros,549000.0,2012
tt2319580,The Grand Seduction,The Grand Seduction,2013,113.0,Comedy,7.0,14435,EOne,3400000.0,2014
tt2321163,ABCD (Any Body Can Dance),ABCD (Any Body Can Dance),2013,160.0,"Drama,Music",6.4,5695,UTV,222000.0,2013
tt2321405,My Life as a Zucchini,Ma vie de Courgette,2016,66.0,"Animation,Comedy,Drama",7.8,17082,GK,310000.0,2017
tt2321549,The Babadook,The Babadook,2014,94.0,"Drama,Horror",6.8,171411,IFC,964000.0,2014
tt2322441,Fifty Shades of Grey,Fifty Shades of Grey,2015,125.0,"Drama,Romance,Thriller",4.1,279126,Uni.,166200000.0,2015
tt2322517,Mojave,Mojave,2015,93.0,"Drama,Thriller",5.2,3726,A24,8300.0,2016
tt2325977,Strangerland,Strangerland,2015,112.0,"Drama,Mystery,Thriller",5.2,7999,Alc,17500.0,2015
tt2326554,A Girl Walks Home Alone at Night,A Girl Walks Home Alone at Night,2014,101.0,"Drama,Horror",7.0,26631,KL,492000.0,2014
tt2326612,The Captive,The Captive,2014,112.0,"Crime,Drama,Mystery",5.9,27017,A24,1100000.0,2014
tt2330866,The Thieves,Dodookdeul,2012,135.0,"Action,Comedy,Crime",6.8,8044,WGUSA,686000.0,2012
tt2333598,7 Boxes,7 cajas,2012,105.0,"Adventure,Crime,Drama",7.2,4727,BGP,38100.0,2014
tt2333784,The Expendables 3,The Expendables 3,2014,126.0,"Action,Adventure,Thriller",6.1,156432,LGF,39300000.0,2014
tt2333804,The Zero Theorem,The Zero Theorem,2013,107.0,"Comedy,Drama,Fantasy",6.1,42082,Ampl.,258000.0,2014
tt2334649,Fruitvale Station,Fruitvale Station,2013,85.0,"Biography,Drama,Romance",7.5,68187,Wein.,16100000.0,2013
tt2334733,Madame Bovary,Madame Bovary,2014,118.0,Drama,5.7,6900,Alc,44200.0,2015
tt2334873,Blue Jasmine,Blue Jasmine,2013,98.0,Drama,7.3,179453,SPC,33400000.0,2013
tt2334879,White House Down,White House Down,2013,131.0,"Action,Drama,Thriller",6.4,191791,Sony,73100000.0,2013
tt2338424,Tumbledown,Tumbledown,2015,105.0,"Comedy,Music,Romance",6.2,5906,SM,135000.0,2016
tt2732210,Tumbledown,Tumbledown,2013,80.0,"Drama,Mystery,Romance",4.1,169,SM,135000.0,2016
tt2339505,Kochadaiiyaan,Kochadaiiyaan,2014,124.0,"Action,Animation",6.5,4527,Eros,817000.0,2014
tt2339741,The Woman in Black 2: Angel of Death,The Woman in Black 2: Angel of Death,2014,98.0,"Drama,Horror,Thriller",4.9,24592,Rela.,26500000.0,2015
tt2343793,Third Person,Third Person,2013,137.0,"Drama,Romance",6.4,24937,SPC,1000000.0,2014
tt4076360,Third Person,Guf Shlishi,2015,57.0,"Documentary,Drama",8.6,10,SPC,1000000.0,2014
tt2344678,Himmatwala,Himmatwala,2013,150.0,"Action,Comedy,Drama",1.7,7384,UTV,271000.0,2013
